turn_id,pause_index,p_eot
en__000,0,0.3766
en__000,1,0.4648
en__000,2,0.4246
en__000,3,0.5216
en__001,0,0.5590
en__001,1,0.6007
en__002,0,0.4313
en__002,1,0.4543
en__002,2,0.4570
en__002,3,0.5140
en__002,4,0.5361
en__002,5,0.5160
en__002,6,0.5444
en__003,0,0.5434
en__004,0,0.3375
en__004,1,0.4246
en__005,0,0.3360
en__005,1,0.5538
en__006,0,0.4194
en__006,1,0.4721
en__006,2,0.5136
en__007,0,0.4699
en__007,1,0.4021
en__007,2,0.4450
en__007,3,0.4892
en__007,4,0.4162
en__007,5,0.3767
en__007,6,0.3756
en__008,0,0.5647
en__008,1,0.5213
en__008,2,0.5422
en__008,3,0.5531
en__009,0,0.4735
en__010,0,0.3637
en__010,1,0.4936
en__011,0,0.5058
en__012,0,0.4779
en__012,1,0.5402
en__012,2,0.5040
en__013,0,0.3747
en__014,0,0.4849
en__014,1,0.5652
en__015,0,0.5197
en__015,1,0.4259
en__016,0,0.4401
en__016,1,0.4611
en__016,2,0.5647
en__017,0,0.5313
en__017,1,0.4851
en__018,0,0.5686
en__018,1,0.4808
en__018,2,0.4999
en__018,3,0.5638
en__018,4,0.4143
en__018,5,0.3494
en__019,0,0.5136
en__020,0,0.5019
en__020,1,0.4381
en__020,2,0.5946
en__021,0,0.5791
en__022,0,0.3879
en__022,1,0.5642
en__023,0,0.4220
en__023,1,0.3548
en__023,2,0.4599
en__024,0,0.4488
en__024,1,0.4857
en__024,2,0.4910
en__025,0,0.5783
en__026,0,0.4363
en__027,0,0.5994
en__027,1,0.5566
en__028,0,0.4478
en__028,1,0.4816
en__029,0,0.5098
en__029,1,0.4224
en__029,2,0.3168
en__030,0,0.5712
en__030,1,0.4899
en__030,2,0.4057
en__030,3,0.4145
en__030,4,0.5946
en__031,0,0.5802
en__032,0,0.5703
en__032,1,0.4896
en__033,0,0.5154
en__034,0,0.6041
en__034,1,0.5566
en__035,0,0.5346
en__035,1,0.5301
en__035,2,0.6137
en__036,0,0.4517
en__036,1,0.4158
en__036,2,0.4119
en__037,0,0.4447
en__037,1,0.5975
en__037,2,0.5068
en__037,3,0.5337
en__038,0,0.4181
en__038,1,0.4467
en__038,2,0.5004
en__038,3,0.4739
en__039,0,0.5428
en__039,1,0.4485
en__039,2,0.5115
en__040,0,0.4497
en__041,0,0.5901
en__042,0,0.3264
en__042,1,0.4362
en__042,2,0.5019
en__042,3,0.4550
en__042,4,0.5617
en__043,0,0.5687
en__044,0,0.4693
en__044,1,0.5704
en__044,2,0.4529
en__045,0,0.5078
en__045,1,0.4873
en__046,0,0.4651
en__046,1,0.4213
en__046,2,0.5123
en__047,0,0.5116
en__048,0,0.5298
en__048,1,0.5673
en__049,0,0.4873
en__049,1,0.4773
en__049,2,0.4156
en__049,3,0.5460
en__049,4,0.4718
en__050,0,0.4970
en__051,0,0.6357
en__051,1,0.6109
en__051,2,0.3643
en__052,0,0.5641
en__052,1,0.5115
en__052,2,0.3939
en__053,0,0.5491
en__053,1,0.5599
en__054,0,0.5846
en__054,1,0.5883
en__055,0,0.5203
en__056,0,0.5562
en__057,0,0.4282
en__058,0,0.5304
en__059,0,0.4579
en__059,1,0.5578
en__059,2,0.6338
en__060,0,0.6007
en__060,1,0.5837
en__061,0,0.6180
en__061,1,0.6066
en__061,2,0.5046
en__062,0,0.6150
en__063,0,0.5905
en__063,1,0.5985
en__064,0,0.6383
en__064,1,0.6510
en__065,0,0.5217
en__065,1,0.3879
en__065,2,0.4578
en__066,0,0.5986
en__066,1,0.3746
en__067,0,0.5770
en__067,1,0.5168
en__067,2,0.5262
en__068,0,0.4317
en__068,1,0.4926
en__068,2,0.4870
en__069,0,0.5959
en__069,1,0.5740
en__070,0,0.3049
en__070,1,0.4626
en__070,2,0.4928
en__070,3,0.4719
en__070,4,0.3308
en__070,5,0.4785
en__070,6,0.4923
en__071,0,0.4307
en__072,0,0.5900
en__073,0,0.4529
en__073,1,0.4735
en__074,0,0.5599
en__075,0,0.3548
en__076,0,0.5806
en__077,0,0.4588
en__077,1,0.4467
en__077,2,0.3903
en__078,0,0.4778
en__079,0,0.5448
en__079,1,0.3849
en__080,0,0.4039
en__080,1,0.3812
en__080,2,0.4823
en__080,3,0.5124
en__080,4,0.4958
en__080,5,0.5681
en__081,0,0.5353
en__081,1,0.4186
en__081,2,0.3451
en__081,3,0.4694
en__081,4,0.5520
en__082,0,0.6350
en__082,1,0.5729
en__083,0,0.4809
en__083,1,0.4219
en__083,2,0.4435
en__084,0,0.6098
en__085,0,0.5184
en__086,0,0.4608
en__086,1,0.3641
en__086,2,0.5123
en__087,0,0.4779
en__088,0,0.5176
en__088,1,0.6225
en__089,0,0.2968
en__089,1,0.4436
en__090,0,0.5361
en__090,1,0.5962
en__090,2,0.6417
en__090,3,0.5798
en__091,0,0.5151
en__091,1,0.5072
en__091,2,0.5757
en__091,3,0.5191
en__091,4,0.5960
en__091,5,0.5964
en__091,6,0.5610
en__091,7,0.5959
en__092,0,0.5505
en__092,1,0.5520
en__093,0,0.4868
en__093,1,0.4987
en__093,2,0.5033
en__093,3,0.4802
en__093,4,0.3608
en__094,0,0.6255
en__094,1,0.5766
en__095,0,0.4224
en__095,1,0.3291
en__095,2,0.5696
en__095,3,0.3856
en__095,4,0.4529
en__095,5,0.4320
en__096,0,0.5848
en__097,0,0.5697
en__097,1,0.5222
en__098,0,0.5541
en__099,0,0.5407
